Word / phrase,Status,Definition,Guidelines,"""Do this"" example","""Don’t do this"" example",Notes & Qs,Don't translate,Product area(s),Screenshot(s),Last updated at,Created at,Last updated by
,,,,,,,,,,2025-12-05 14:42:45,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:42:50,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:42:59,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:04,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 16:50:57,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:10,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:42:52,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:13,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:15,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:18,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:24,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:26,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:30,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:39,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:42,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:45,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-18 09:39:48,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:51,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:43:53,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:44:03,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-18 09:39:48,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:44:01,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:27:29,2025-12-05 10:03:52,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 14:27:24,2025-12-05 14:27:24,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-05 16:50:57,2025-12-05 16:14:34,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-17 11:53:53,2025-12-17 11:53:53,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-17 12:02:37,2025-12-17 12:02:37,margot.merrill@sigmacomputing.com
,,,,,,,,,,2025-12-18 09:41:25,2025-12-18 09:41:25,margot.merrill@sigmacomputing.com
,,,,,,,,,,2026-03-23 10:27:03,2026-03-23 10:27:03,ben.harris@sigmacomputing.com
